experiment,gene.set,pathway,contrast,fgsea.FDR,fgsea.NES,fgsea.leadingEdge,gage.FDR
P259_2,H,IL6_JAK_STAT3_SIGNALING,none_HRVnone_none,0.02413127413127413,1.6892655191998125,CXCL11;CD38;CCR1;IL15RA;CXCL10;HMOX1;IL6;CXCL13;JUN;CXCL9;TLR2;IL7;STAT2;CSF1;IL2RA;IRF1;IRF9;STAT1;IL12RB1;STAT3;MYD88;SOCS3;SOCS1;ITGA4;BAK1;FAS;CSF3R;PIK3R5,0.1252156635798809
P259_2,H,INFLAMMATORY_RESPONSE,AntiIL5_nonenone_none,0.02757242757242757,1.399366432783777,CXCL10;CXCL11;CXCL9;CLEC5A;CCL7;SLC1A2;OLR1;CCL24;CD14;P2RX7;FFAR2;KCNA3;AQP9;SERPINE1;STAB1;ITGB8;MEFV;IL1A;KCNJ2;P2RY2;MMP14;TACR1;MSR1;OSMR;SLC4A4;IL6;ADM;MET;CCL20;SGMS2;CD70;CXCL8;SLC28A2;IL15;ITGB3;SLC31A2;RNF144B;ABCA1;RASGRP1;GCH1;TNFAIP6;IL1R1;OPRK1;PDE4B;ADGRE1,0.05897744272020779
P259_2,H,INFLAMMATORY_RESPONSE,EOSsupp_HRVEOSsupp_none,0.0257201646090535,1.7682422951603285,CXCL11;CXCL10;KCNA3;C3AR1;CSF3R;TNFAIP6;ITGB8;RTP4;GCH1;IL15RA;F3;OSM;TNFSF10;CXCL9;P2RX7;PDE4B;CD14;IFITM1;TLR3;ITGB3;LY6E;RNF144B;NAMPT;ADGRE1;AQP9;FPR1;IRF1;MXD1;CCL5;GABBR1;EIF2AK2;IL1A;NMI;IRF7;ABCA1;SERPINE1;CCRL2;RIPK2;OSMR;KLF6;AXL;SCN1B;CCR7;PROK2;SELL;SPHK1;KIF1B;SELENOS;MET;IL6;EDN1;RGS1;SLC31A2,0.01312231342260256
P259_2,H,INFLAMMATORY_RESPONSE,none_HRVnone_none,0.02421307506053269,1.734845682110909,CXCL10;CXCL11;CXCL9;RNF144B;GCH1;ADM;CD70;IL15;ADGRE1;P2RX7;RTP4;PDE4B;TNFSF10;C3AR1;IL6;LY6E;IL15RA;IFITM1;CD14;SLC31A2;OSM;CSF3R;EIF2AK2;AXL;NMI;MXD1;MYC;CLEC5A;CCL7;IRF7;OSMR;SGMS2;KCNA3;MEFV;CCR7;STAB1;NAMPT;KIF1B;KLF6;ITGB8;PROK2;CD69;RIPK2;TNFAIP6;SPHK1;CCL5;BST2;KCNJ2;TLR3;IRF1;NFKBIA;EREG;GPR132;NFKB1;AQP9;CCL20;RASGRP1;CCRL2;RGS1;SELL;SELENOS;TACR1,0.03274465539791544
P259_2,H,INFLAMMATORY_RESPONSE,none_HRVnone_none,0.02413127413127413,1.704389498188426,CXCL11;TLR3;C3AR1;ADORA2B;IL15RA;ADGRE1;CXCL10;CCL5;GCH1;ITGB8;IL6;MXD1;RNF144B;OSM;TPBG;PDE4B;TNFSF10;RTP4;LY6E;CXCL9;IFITM1;TLR2;NAMPT;CCL20;CXCR6;CSF1;AXL;SLC1A2;SELENOS;NMI;SELL;CD70;CCRL2;IL15;IRF7;SLC31A2;IRF1;IL18;MYC;KLF6;CCR7;EIF2AK2;SPHK1;ABCA1;LIF;F3;IL1A;CLEC5A;CD69;RGS1;NFKB1;GPR132;OLR1;PROK2;CSF3R;PIK3R5;RELA;CHST2;TACR1;BST2;PTGER2;LDLR;KIF1B;EDN1;GNAI3;TNFAIP6;CCL7;AQP9,0.01239499230670915
P259_2,H,INTERFERON_ALPHA_RESPONSE,AntiIL5_nonenone_none,0.02332657200811359,1.5560833368590272,CXCL10;CXCL11;PROCR;GMPR;HELZ2;RSAD2;OASL;IL15;IFIT3;IFIT2;ISG20;ISG15;CD74;USP18;C1S;MX1;CMPK2;CASP1;B2M;IFITM3;PARP9;BATF2;IFI35;EPSTI1;IFITM1;IL7;OAS1;SAMD9L;GBP4;SAMD9;PARP12;TRIM5;STAT2;PNPT1;IFI44L;DDX60;IRF7;CD47;UBE2L6;PLSCR1;TRIM25;HERC6;LAMP3;BST2;LY6E;DHX58;IFIH1;PSME1;SELL;NUB1;HLA-C;EIF2AK2;TAP1;ELF1;PSMB9;RIPK2;PARP14;IFI27;LGALS3BP;PSME2,0.05564869276398469
P259_2,H,INTERFERON_ALPHA_RESPONSE,EOSsupp_HRVEOSsupp_none,0.0257201646090535,2.9941025616026145,CXCL11;BATF2;IFIT2;OASL;RSAD2;CXCL10;IFIT3;LGALS3BP;HELZ2;IFI27;HERC6;USP18;DHX58;RTP4;GBP4;GMPR;TDRD7;CMPK2;OAS1;DDX60;PARP9;IFIH1;IFI44L;PARP12;SAMD9;SAMD9L;IFI44;IFITM3;IFITM1;ISG20;LY6E;MX1;TMEM140;EPSTI1;TAP1;PARP14;ISG15;IFI35;STAT2;TRIM25;IRF1;TRIM21;PROCR;CASP1;IL7;WARS1;SP110;EIF2AK2;PNPT1;ADAR;CNP;TRAFD1;PLSCR1;NMI;UBE2L6;TRIM5;IRF7;NUB1;CCRL2;IRF9;RIPK2;CMTR1;LAP3;SELL;SLC25A28;TRIM14;TRIM26;IFITM2;GBP2;PSMB9,5.330024359388312e-17
P259_2,H,INTERFERON_ALPHA_RESPONSE,EOSsupp_HRVnone_HRV,0.09174311926605504,-1.804949273280413,C1S;PROCR;GMPR;IFIT2;MOV10;OASL;IFI27;UBA7;GBP2;NMI;GBP4;CXCL11;IFIT3;ISG15;ISG20;IFI35;IL15;TMEM140;HERC6;CXCL10;HELZ2;LY6E;IFITM3;IL7;IFITM1;WARS1;TENT5A;OAS1;IFITM2;PARP14;TXNIP;SAMD9L;SP110;ELF1;CNP;PSMB9;RSAD2;UBE2L6;EPSTI1;IRF1;BST2;PLSCR1;B2M;DHX58;RTP4;USP18;IFI44L;SLC25A28;SELL;SAMD9;HLA-C;PSME2;MX1;CMPK2;IFIH1;NUB1;IFI44;PARP9;PSMA3;LAP3;CD74;PSME1;NCOA7;STAT2;PSMB8;IRF7;PARP12;CSF1;PNPT1;TAP1,0.05444290435005185
P259_2,H,INTERFERON_ALPHA_RESPONSE,EOSsupp_nonenone_none,0.03949447077409163,-1.827479729907005,C1S;IFIT2;HELZ2;CXCL10;RTP4;BATF2;IFIT3;GBP4;RSAD2;OASL;CXCL11;DHX58;GMPR;TDRD7;HERC6;PARP12;IRF1;IFITM1;CASP1;ISG15;RIPK2;IFI44L;IFITM3;PARP9;SAMD9;IFIH1;OAS1;ISG20;IFITM2;TRAFD1;CMPK2;LGALS3BP;SP110;IFI27;LY6E;LAP3;UBE2L6;CD74;EIF2AK2;MX1;PLSCR1;B2M;STAT2;PSMB9;TENT5A;NMI;PARP14;PSME2;IFI35;BST2;TRIM14;HLA-C;PSME1;DDX60;IFI44;TRIM5;CD47;TAP1;TRIM21;SAMD9L;USP18;IL7;TRIM25;TXNIP,0.00859888903710641
P259_2,H,INTERFERON_ALPHA_RESPONSE,none_HRVnone_none,0.02421307506053269,2.9478887971274306,CXCL10;CXCL11;RSAD2;GMPR;PROCR;OASL;IFIT3;IFIT2;USP18;HELZ2;CMPK2;GBP4;DHX58;OAS1;SAMD9L;HERC6;DDX60;IFI44L;TDRD7;IL15;PARP9;RTP4;IFI27;SAMD9;IL7;MX1;EPSTI1;LGALS3BP;ISG20;IFI44;IFIH1;IFI35;PARP12;IFITM3;TRIM25;LY6E;IFITM1;ISG15;BATF2;CASP1;STAT2;PLSCR1;EIF2AK2;UBE2L6;PARP14;PNPT1;NMI;SP110;TRIM21;CNP;TMEM140;TAP1;WARS1;IRF7;SLC25A28;NUB1;TRIM5;ADAR;TENT5A;MOV10;NCOA7;LAP3;UBA7;CMTR1;RIPK2;PSMB9;IFITM2;TRAFD1;BST2;TRIM14;TRIM26;IRF1;IRF9;ELF1;IRF2;HLA-C;CCRL2;SELL,1.001836091609693e-15
